HSP ID,help,Gender,Gender_Other,Age,Culture,Culture_Other,First_Lanuage,First_Lanuage_O,First_Lanuage_2,English_Years,English_Fluent,Nationality,Years_Canada,Old_Move_Canada,Religion,Religion_Other,Handedness,Political,Year_School,E.Kim.1,E.Kim.2,E.Kim.3,E.Kim.4,E.Kim.5,E.Kim.6,E.Kim.7,E.Kim.8,E.Kim.9,E.Kim.10,E.Kim.11,E.Kim.12,E.Kim.13,E.Kim.14,E.Kim.15,E.Kim.16,E.Kim.17,E.Kim.18,E.Kim.19,E.Kim.20,E.Kim.21
15450430,Yes,Woman,[Decline to Answer],25,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,[Decline to Answer],[Decline to Answer],Mostly right handed,Moderately liberal,4th,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Strongly agree
11170823,Yes,Woman,[Decline to Answer],25,South East Asian,[Decline to Answer],Tagalong,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Filipino,6,18,Other,Roman Catholic,Mostly right handed,Moderately liberal,Other,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree
22460409,Yes,Man,[Decline to Answer],34,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Christian,[Decline to Answer],Mostly right handed,Moderately liberal,Other,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
28770508,Yes,Man,[Decline to Answer],23,Other,Mixed (European/East Asian),English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Mostly left handed,Slightly liberal,4th,Strongly disagree,Disagree,Slightly disagree,Disagree,Neither agree nor disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Disagree,Slightly disagree,Slightly disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
72380119,[Decline to Answer],Woman,[Decline to Answer],49,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,[Decline to Answer],[Decline to Answer],Mostly right handed,Moderately liberal,4th,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
12630109,Yes,Woman,[Decline to Answer],23,East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],18,Christian,[Decline to Answer],Mostly right handed,[Decline to Answer],Other,Agree,Agree,Strongly agree,Strongly agree,Slightly agree,Agree,Slightly agree,Agree,Neither agree nor disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Agree,Agree,Strongly agree,Slightly agree,Slightly disagree,Slightly disagree,Neither agree nor disagree,Slightly disagree
16470424,No,Woman,[Decline to Answer],24,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,canadian,[Decline to Answer],Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Mostly left handed,Moderately liberal,Other,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Slightly disagree,Slightly disagree,Neither agree nor disagree,Slightly agree,Agree,Agree,Agree
11451219,Yes,Man,[Decline to Answer],23,Middle Eastern,[Decline to Answer],Other,Arabic,[Decline to Answer],6,7. Completely fluent,Saudi Arabian,6,18,Nonreligious,[Decline to Answer],Mostly right handed,Strongly liberal,4th,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Agree,Slightly agree,Strongly agree,Strongly agree
81490302,Yes,Woman,[Decline to Answer],[Decline to Answer],East Asian,[Decline to Answer],Cantonese,[Decline to Answer],[Decline to Answer],[Decline to Answer],6,[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],Mostly right handed,[Decline to Answer],4th,Neither agree nor disagree,Neither agree nor disagree,[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],Agree,[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer]
48481229,Yes,Man,[Decline to Answer],22,South Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,20+,Not applicable--I was born in Canada,Atheist,[Decline to Answer],Mostly right handed,Strongly liberal,3rd,Slightly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Agree
39520404,[Decline to Answer],Woman,[Decline to Answer],23,Middle Eastern,[Decline to Answer],Farsi,[Decline to Answer],[Decline to Answer],20,7. Completely fluent,Persian,10,13,Agnostic,[Decline to Answer],Mostly right handed,Moderately liberal,Other,Slightly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly disagree,Agree,Agree,Agree,Slightly agree,Agree,Agree,Strongly agree,Agree
17420627,Yes,Man,[Decline to Answer],23,East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],15,7. Completely fluent,Canada,15,8,Atheist,[Decline to Answer],Mostly right handed,Neutral/moderate,4th,Slightly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Agree,Slightly agree,Slightly agree,Agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,Slightly agree,Disagree,Agree,Slightly agree,Slightly agree,Agree
32871020,Yes,Woman,[Decline to Answer],22,East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,canadian,[Decline to Answer],Not applicable--I was born in Canada,Nonreligious,[Decline to Answer],Mostly right handed,Moderately liberal,Other,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Agree
14320627,[Decline to Answer],Woman,[Decline to Answer],23,South Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Mostly right handed,Moderately liberal,3rd,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Disagree,Disagree,Disagree,Disagree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly disagree
19560309,Yes,Woman,[Decline to Answer],23,Other,East Asian and Middle Eastern,Both English and another language,[Decline to Answer],Japanese and Farsi,[Decline to Answer],7. Completely fluent,Canada,6,18,Baha'i,[Decline to Answer],Mostly left handed,Slightly liberal,Other,Neither agree nor disagree,Slightly agree,Agree,Slightly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Slightly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Slightly agree,Slightly agree,Agree,Slightly agree
29110215,Yes,Woman,[Decline to Answer],23,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,20+,Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Mostly right handed,Strongly liberal,4th,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree
50940513,I don't know,Woman,[Decline to Answer],24,South East Asian,[Decline to Answer],Both English and another language,[Decline to Answer],tagalog,[Decline to Answer],6,Canadian,6,18,Other,Roman Catholic,Mostly right handed,[Decline to Answer],Other,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Strongly agree,Agree
11870417,Yes,Woman,[Decline to Answer],23,East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],21,7. Completely fluent,Taiwanese Canadian,20+,2,Nonreligious,[Decline to Answer],Mostly right handed,Moderately liberal,Other,Disagree,Disagree,Agree,Slightly agree,Agree,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree
1111111,Yes,Man,[Decline to Answer],11,First Nations,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],1. Not fluent,canadian,1,Not applicable--I was born in Canada,Nonreligious,[Decline to Answer],Ambidextrious,Neutral/moderate,2nd,Slightly disagree,[Decline to Answer],Agree,Neither agree nor disagree,Strongly disagree,Agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,[Decline to Answer],Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
34720317,Yes,Woman,[Decline to Answer],[Decline to Answer],South Asian,[Decline to Answer],Both English and another language,[Decline to Answer],Punjabi,[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Sikh,[Decline to Answer],Mostly right handed,Strongly liberal,Other,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
23491121,No,Other,Non-binary,22,East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Atheist,[Decline to Answer],Mostly right handed,Strongly liberal,3rd,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Slightly agree,Disagree
45040602,[Decline to Answer],Woman,N/A,[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,[Decline to Answer],20+,1,Christian,[Decline to Answer],Mostly right handed,Moderately liberal,[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer]
10910116,Yes,Woman,[Decline to Answer],26,South Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],6,Canadian,14,13,Hindu,[Decline to Answer],Mostly right handed,Neutral/moderate,4th,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree
26300522,Yes,Woman,[Decline to Answer],23,East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],18,7. Completely fluent,Taiwanese Canadian,18,6,[Decline to Answer],[Decline to Answer],Mostly right handed,Slightly liberal,Other,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Agree,Slightly agree,Slightly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Neither agree nor disagree
17380413,I don't know,Woman,[Decline to Answer],23,Middle Eastern,[Decline to Answer],Farsi,[Decline to Answer],[Decline to Answer],14,7. Completely fluent,Iranian,14,9,Muslim,[Decline to Answer],Mostly right handed,Strongly liberal,Other,Neither agree nor disagree,Slightly disagree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly disagree,Strongly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly disagree,Slightly disagree,Neither agree nor disagree,Agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Agree
37220921,[Decline to Answer],Woman,[Decline to Answer],21,East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,canadian,[Decline to Answer],Not applicable--I was born in Canada,[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer]
42490715,Yes,Woman,[Decline to Answer],23,Other,Caucasian,English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,French Ukrainian,20+,Not applicable--I was born in Canada,Christian,[Decline to Answer],Mostly right handed,Neutral/moderate,4th,Slightly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Disagree,Strongly disagree,Slightly agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree
52200626,Yes,Man,[Decline to Answer],34,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Nonreligious,[Decline to Answer],Mostly right handed,Moderately liberal,4th,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Strongly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree
26570318,Yes,Woman,N/A,21,European,N/A,Both English and another language,N/A,French,N/A,7. Completely fluent,Canadian and French,[Decline to Answer],Not applicable--I was born in Canada,Atheist,N/A,Mostly right handed,[Decline to Answer],Other,Slightly agree,Neither agree nor disagree,Slightly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree
34320822,Yes,Woman,[Decline to Answer],22,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Atheist,[Decline to Answer],Mostly right handed,Strongly liberal,3rd,Neither agree nor disagree,Strongly disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
15620715,Yes,Man,[Decline to Answer],23,East Asian,[Decline to Answer],Korean,[Decline to Answer],[Decline to Answer],11,6,Republic of Korea (South Korea),2,20+,Christian,[Decline to Answer],Mostly right handed,Slightly liberal,3rd,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neither agree nor disagree,Agree,Agree
25310102,Yes,Woman,[Decline to Answer],23,East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],7,6,china,7,16,Atheist,[Decline to Answer],Mostly right handed,Slightly liberal,4th,Disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Slightly agree,Neither agree nor disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Slightly disagree,Agree,Strongly disagree,Disagree,Agree
11730930,Yes,Other,Agender,21,South East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Filipino,10,13,[Decline to Answer],[Decline to Answer],Mostly right handed,Moderately liberal,4th,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree
40430107,Yes,Woman,[Decline to Answer],22,East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],6,4,Canada,6,17,Nonreligious,[Decline to Answer],Mostly right handed,Slightly liberal,3rd,Slightly agree,Neither agree nor disagree,Agree,Slightly disagree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Slightly agree,Agree,Strongly agree,Slightly agree,Strongly disagree,Slightly agree,Strongly agree,Strongly agree
20530814,Yes,Woman,[Decline to Answer],22,South Asian,[Decline to Answer],Both English and another language,[Decline to Answer],Tamil,[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Mostly right handed,Strongly liberal,4th,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Slightly disagree
27760405,Yes,Woman,[Decline to Answer],22,South East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Thai,20+,1,Buddhist,[Decline to Answer],Mostly left handed,Moderately liberal,4th,Slightly disagree,Slightly agree,Agree,Slightly agree,Agree,Agree,Agree,Agree,Slightly agree,Strongly agree,Agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Slightly agree,Strongly agree,Slightly agree,Agree,Slightly agree
36601126,I don't know,Other,fluid,21,European,[Decline to Answer],Other,russian,[Decline to Answer],17,7. Completely fluent,russian canadian,17,4,Buddhist,[Decline to Answer],Mostly right handed,Strongly liberal,4th,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Neither agree nor disagree,Disagree,Slightly disagree,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Agree
39230607,[Decline to Answer],Woman,[Decline to Answer],22,East Asian,[Decline to Answer],Cantonese,[Decline to Answer],[Decline to Answer],18,7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Buddhist,[Decline to Answer],Mostly right handed,Slightly liberal,Other,Slightly disagree,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly disagree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,Slightly disagree
