prescreen_key,,,
question_id,export_name,question_text,section_id
2300,Dad education,What was your father's highest level of education?,140
2301,Family.income,Please select the answer below that is closest to your family's yearly income before taxes.,140
2312,Attn,"Research in decision making shows that people, when making decisions and answering questions, prefer not to pay attention and minimize their effort as much as possible. Some studies show that over 50% of people don’t carefully read questions. If you are reading this question and have read all the other questions, please select the box marked ‘other’ and type ‘Decision Making’ in the box below. Do not select “predictions of your own behavior.” Thank you for participating and taking the time to read through the questions carefully! What was this study about?",215
2313,Attnother,"If you selected ""other"" above, please specify:",215
2369,BIological.sex,What was your assigned sex at birth,140
2553,age.30,Are you between the ages of 18-30?,140
2588,age.28,Are you between the ages of 18-28?,140
2592,mikami.1.ext,I say or do things without thinking them through first,248
2593,mikami.2.ext,"I have difficulty organizing things or staying organized about things such as my room, work schedule, class notes, or school assignments",248
2624,werker.1,"If you speak Hindi, Tamil, Urdu, Kannada, Marathi, Gujarati, or Pashto, please indicate when you first began to learn any of the languages listed. If you speak more than one of them, answer this question using the one that you learned first.",251
2625,werker.2,Please list every language that you speak and understand (including English):,251
2673,mikami.3.int,"I've been feeling depressed, down, sad, empty, or hopeless.",262
2674,mikami.4.int,I've been continually worried or anxious about a number of events or activities in my daily life.,262
2681,mikami.5.smu,How often do you use/check the social media apps Facebook or Instagram?,263
2682,mikami.6.smu,"Lately, the impact that my social media use has had on my well-being has been:",263
2684,SEC248,[SECTION SUM (ID: 248 )],248
2685,SEC262,[SECTION SUM (ID: 262 )],262
2687,psych.major.yn,"Are you a psychology major? (if you are double-majoring in psychology and another field, select yes)",140
2719,Bourrier.1,I am fatigued right now.,265
2720,Bourrier.2,"Mentally, I am feeling exhausted.",265
2721,Bourrier.3,"Physically, I am feeling exhausted.",265
2722,Bourrier.4,My thinking is slowed down.,265
2723,Bourrier.5,I am not thinking clearly.,265
2724,Bourrier.6,I am having difficulty paying attention.,265
2725,Bourrier.7,I am feeling sleepy or drowsy.,265
2726,Bourrier.8,I am lacking in energy.,265
2727,Bourrier.9,I am having difficulty remembering information.,265
2728,Bourrier.10,I am feeling less alert.,265
2745,Handy.Alannah.1,Have you ever been diagnosed with ADHD/ADD?,268
2837,KingstonForby1,I often notice small sounds when others do not.,285
2856,KingstonForby2,"I usually concentrate more on the whole picture, rather than the small details.",285
2857,KingstonForby3,I find it easy to do more than one thing at a time.,285
2858,KingstonForby4,"If there is an interruption, I can switch back to what I was doing very quickly.",285
2859,KingstonForby5,"I find it easy to ""read between the lines"" when someone is talking to me.",285
2860,KingstonForby6,I know how to tell if someone listening to me is getting bored.,285
2861,KingstonForby7,When I'm reading a story I find it difficult to work out the characters' intentions.,285
2862,KingstonForby8,"I like to collect information about categories of things (e.g., types of car, types of bird, types of train, types of plant, etc.)",285
2863,KingstonForby9,I find it easy to work out what someone is thinking or feeling just by looking at their face.,285
2864,KingstonForby10,I find it difficult to work out people's intentions.,285
2870,SEC285,[SECTION SUM (ID: 285 )],285
2871,Consent,"HSP Pretesting Principal Investigator: Dr. Steve Heine, UBC Department of Psychology Phone: 604-822-6908. Email: heine@psych.ubc.ca Introduction and Purpose: The purpose of this study is to collect information about your feelings, attitudes, past experiences, and personal characteristics. Researchers may use this information to screen you for other studies in the Human Subjects Pool (HSP) for which you may qualify. Researchers may also use this information to link pre-testing responses to data that was collected in a laboratory setting, past or future pre-testing questionnaires, or to collect data on an independent research project using questionnaires included in the pretesting survey. Collection of pre-testing data: If you decide to participate, you will be asked to complete a series of questions. These questions reflect the diverse interests of members of the Psychology department, and therefore the questions will span a broad range of topics, including some topics you might consider sensitive; specifically, this pretesting survey includes questions about your ethnocultural background, religious beliefs and affiliations, sexual practices, past or present physical health conditions or mental illness/mental health issues, and personal attitudes. There are no known risks associated with the collection of pre-testing data, and no known conflicts of interest on the part of the researchers. If you have any questions at anytime about the procedures or your involvement feel free to ask the researchers. Potential Risks: By responding to the pre-testing survey online, you will face the same kinds of risk to confidentiality that occurs whenever you enter personal information over the internet. However, every effort will be made to minimize these risks (e.g., the HSP website automatically encrypts the responses you enter). Potential Benefits: There are no benefits for participants, aside from the opportunity to learn about psychological research and to be directed toward studies that are relevant to them. Compensation: For your participation, you will receive one half-credit in the HSP system. Confidentiality: Any information you provide in the collection of pre-testing data will be kept strictly confidential. You will be asked to create a code number, which will be linked to the pre-testing responses you provide. If a researcher wishes to access your pre-testing data when you later complete a particular study, they will ask you to provide this code number; whether to do so is entirely at your discretion. Only HSP administrators will be able to access the data linking your name and code number, and this data will be stored on a password-protected and encrypted computer in a locked office. In addition, if your pre-testing responses indicate that you meet the qualifications for particular studies, these studies will be automatically displayed to you by the online sign-up system; therefore, if you choose to sign up for a given study, the researchers will assume that you meet the qualifying criteria. Furthermore, some researchers may wish to contact you directly to invite you to participate in their study, based on the answer you provided to an item in the pretesting survey. If you would like to be contacted for future research based on your answer to an item, you will have an opportunity to submit your name and email address.  Contact: If you have any other questions or desire further information with respect to the collection of pre-testing data, please contact Zachary Witkower (Email: hspresearch@psych.ubc.ca).Contact for concerns about the rights of research subjects: If you have any concerns or complaints about your rights as a research participant and/or your experiences while participating in this study, contact the Research Participant Complaint Line in the UBC Office of Research Ethics at 604-822-8598 or if long distance e-mail RSIL@ors.ubc.ca or call toll free 1-877-822-8598. Consent: Your participation in this study is entirely voluntary and you may refuse to participate or withdraw from the study at any time. You can do this by emailing hspresearch@psych.ubc.ca, and requesting that your data be deleted. You will not be penalized in any way should you choose not to participate or withdraw. Checking the box below indicates that you have received a copy of this consent form for your records. Checking the box below also indicates that you consent to participate in the pre-testing. Separate informed consent forms will be provided for future studies related to HSP.",19
2872,bourrier.11,How many hours of sleep did you get last night,265
2873,PIE,"Some researchers may wish to contact you directly to invite you to participate in their study, based on the answer you provided to this item. If you would like to be contacted for future research based on your answer to this item please give us your email. If you would not like to be contacted for future research based on your answer to this item, please leave the following text box blank:",268
2914,billet.1,Jungles experience moods,290
2915,billet.2,Deserts have their own languages,290
2916,billet.3,The sky has personalities,290
2917,billet.4,Forests can have thoughts,290
2918,billet.5,I feel intense wonder towards nature,290
2919,billet.6,"When I am in nature, I feel a sense of awe",290
2920,billet.7,Sometimes I am overcome with the beauty of nature,290
2921,billet.8,There is nothing like the feeling of being in nature,290
2922,billet.9,There is a spiritual connection between human beings and the natural environment,290
2923,billet.10,There is sacredness in nature,290
2924,billet.11,Everything in the natural world is spiritually interconnected,290
2925,billet.12,Nature is a spiritual resource,290
2927,billet.env1,I see myself as an environmentalist,291
2928,billet.env2,I am pleased to be an environmentalist,291
2929,billet.env3,I feel strong ties with environmentalists,291
2930,billet.env4,I identify with other environmentalists,291
2931,Dunn.1,I lack companionship.,292
2932,Dunn.2,I feel part of a group of friends.,292
2933,Dunn.3,There are people I feel close to.,292
2934,Dunn.4,I feel left out.,292
2935,Dunn.5,People are around me but not with me.,292
2936,Dunn.6,There are people I can turn to.,292
2937,Silverberg.1,Have you had a concussion (blow to your head that caused you to have symptoms for any amount of time)?,293
2938,Silverberg.2,"Do you continue to experience symptoms due to concussion (for example, one or more of the following: headaches, dizziness, fatigue, sensitivity to noise or light, irritability, difficulty concentrating, forgetfulness)?",293
2939,Heltzel.1,"When frustrated, I let my irritation show.",294
2940,Heltzel.2,I have trouble controlling my temper.,294
2941,Chen.1,Do you have a child who is under 18 months of age?,295
2942,Chen.2,Are you currently taking an oral or topical medication? (This does NOT include hormonal contraceptive use.),295
2943,Chen.3,Do you have a current or previous medical condition? (This includes physical and/or mental health conditions.),295
2944,Chen.4,How often do you smoke cigarettes and/or marijuana?,295
2945,Chen.5,Do you have colour-deficient vision or colour-blindness?,295
2946,Zareian.1,"Please indicate which one of the following applies to you regarding the use of hormonal contraceptives (e.g., birth control pills):",296
2947,Kim.1,I have a clear understanding of the ultimate meaning of life.,297
2948,Kim.2,The meaning of life in the world around us is evident to me.,297
2949,Kim.3,I have a framework that allows me to understand or make sense of human life.,297
2950,Kim.4,I understand my life’s meaning.,297
2951,Kim.5,I can make sense of the things that happen in my life.,297
2952,Kim.6,I have a philosophy of life that helps me understand who I am.,297
2953,Kim.7,I am living the kind of meaningful life I want to live.,297
2954,Kim.8,Living is deeply fulfilling.,297
2955,Kim.9,I feel like I have found a really significant meaning in my life.,297
2956,Kim.10,The things I do are important to other people.,297
2957,Kim.11,I have accomplished much in life as a whole.,297
2958,Kim.12,I make a significant contribution to society.,297
2959,Kim.13,I have been aware of an all-encompassing and consuming purpose toward which my life has been directed.,297
2960,Kim.14,I have a sense of mission or calling.,297
2961,Kim.15,I have a mission in life that gives me a sense of direction.,297
2962,Kim.16,I have a sense of direction and purpose in life.,297
2963,Kim.17,I can describe my life’s purposes.,297
2964,Kim.18,My current aims match with my future aspirations.,297
2965,Kim.19,In my life I have very clear goals and aims.,297
2966,Kim.20,I have goals in life that are very important to me.,297
2967,Kim.21,I have definite ideas of things I want to do.,297
2968,vision,Do you have normal or corrected-to-normal vision?,140
2969,Mikami.7,To what extent do you think the amount of time you spend on social media on a daily basis has changed since the COVID-19 outbreak compared to before?,263
2970,SEC263,[SECTION SUM (ID: 263 )],263
